hour,P_total_measured_W,residual_W,on_coffee_machine,prob_coffee_machine,P_coffee_machine_W,on_pv,prob_pv,P_pv_W,on_standing_fan,prob_standing_fan,P_standing_fan_W,on_standing_lamp,prob_standing_lamp,P_standing_lamp_W,on_table_fan,prob_table_fan,P_table_fan_W,on_table_lamp,prob_table_lamp,P_table_lamp_W,on_water_boiler,prob_water_boiler,P_water_boiler_W
0.0,344.5,17.9,0,0.165,0.0,0,0.0,0.0,0,0.0,0.0,1,0.875,306.2,0,0.18,0.0,1,0.97,20.4,0,0.02,0.0
0.002777777777777778,535.6,-3.1,0,0.05,0.0,0,0.0,0.0,0,0.015,0.0,1,0.91,501.4,0,0.21,0.0,1,0.975,37.3,0,0.0,0.0
0.005555555555555556,535.1,-3.9,0,0.045,0.0,0,0.0,0.0,0,0.005,0.0,1,0.91,501.6,0,0.285,0.0,1,0.98,37.4,0,0.0,0.0
0.008333333333333333,535.1,-3.9,0,0.055,0.0,0,0.0,0.0,0,0.03,0.0,1,0.9,501.7,0,0.28,0.0,1,0.915,37.4,0,0.0,0.0
0.011111111111111112,537.1,-1.5,0,0.05,0.0,0,0.0,0.0,0,0.015,0.0,1,0.915,501.2,0,0.2,0.0,1,0.975,37.4,0,0.0,0.0
0.013888888888888888,343.6,14.3,0,0.125,0.0,0,0.0,0.0,0,0.0,0.0,1,0.89,306.1,0,0.115,0.0,1,0.955,23.3,0,0.01,0.0
