hour,baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6491473588283214,12.71661082771015,4.657336101810308,-0.16414286269051745
0.001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56738748720838,27.769130716372867,15.576983986396804,0.11180550113430503
0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17837496037583,27.8169698113239,16.896032363957573,-1.57923463585661
0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80698209225507,28.560374534090357,16.49272178098523,-0.7296924778520933
0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.10353318250808,28.661278784397286,16.679569138954854,-0.8879266078714008
0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.72789500994887,28.70563630973859,16.6887806525074,-1.2502714215276542
0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.129267647515114,29.540402633730043,16.754591791080973,-0.5771933464142319
0.009722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.469167108707204,28.290214594634076,15.879005689027078,-0.7826801766193988
0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.488795173551836,25.76350732342241,12.340986142406496,-0.5079545456053149
0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35854544095086,4.566905635233667,1.5580927424005293,-0.820025741035773
0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.815569815569006,16.222224085149563,16.444275932962885,-0.6100614875205629
0.015277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85233856359037,29.272574785700236,16.870862189840434,-0.9822326872243238
0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.145299758354454,28.761759190024474,16.434905599187424,-1.0893412320660836
0.018055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.43905272656331,29.302025111378896,16.91897769912417,-1.3288431488358696
0.019444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.88326342521904,29.3669433341754,16.64182165371412,-1.3132952765599273
0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.23690381058499,29.09018593919553,16.85470765289908,-1.4871536115464847
0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.20741896650816,28.93653144185327,16.848952850494477,-1.7531389118993255
0.02361111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.20207006005559,27.91294068112475,16.712758329096914,-1.5943049484731353
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.46869520636,25.99423877789475,-0.4639485522916573,-1.3604210151194505
0.02638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.34176202204048,0.4411640088579779,10.959897421388515,-2.2153362000127506
0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.29720473094321,21.133089670121542,17.173905427823712,-1.7485173538866963
0.029166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.509998055903466,29.153424236117285,16.85977877687908,-1.2058862486566917
0.030555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0363647361074,28.967405204504352,16.85977877687908,-1.3173639031684397
0.03194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.07959658736964,29.279275856707983,16.85470765289908,-1.4863483018462538
0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.49728414258015,28.927822769617364,16.85977877687908,-1.3697605754137692
0.034722222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.482712944679825,29.0987633872315,16.19996120012628,-0.7895516216501232
