baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv,hour
-0.24341446,0.20146725,0.135892,0.05741152,-0.19178459,0.20646179,0.19434236,0.02050814,0.02203811,1.2667762,9.830255,8.737891,-1.2310586,0.0
-0.0542316,0.028417446,-0.066465385,0.0056244135,-0.064795636,0.050134085,-0.014085621,-0.09390735,0.00070609525,30.869038,27.835512,15.413788,-2.031716,0.001388888888888889
-0.010369405,-0.0052133277,0.017105624,-0.032593265,-0.054551892,-0.072144866,-0.024998248,-0.04944078,0.039542817,38.18854,27.134336,15.377608,-1.1637979,0.002777777777777778
-0.030237943,0.030129746,0.0027657822,0.004416801,-0.03801509,-0.048267614,-0.046431094,-0.019115642,-0.00041878596,37.46043,27.495817,15.465236,-1.4383806,0.004166666666666667
-0.03301853,0.034892842,-0.0013066381,-0.023372695,-0.059375472,-0.032217313,-0.04841969,-0.0046606585,0.022897456,38.33222,27.433798,15.562085,-1.6284853,0.005555555555555556
-0.06025502,0.008674972,-0.016847052,-0.00063863397,-0.053812675,-0.050961282,-0.04030256,-0.06630821,-0.007419821,42.664455,27.53818,15.394851,-1.627226,0.006944444444444444
0.011821188,0.06527068,-0.031017326,0.01096832,-0.010849111,-0.0135351755,-0.016193792,-0.09448617,-0.0058434326,52.805374,27.300554,15.4695425,-2.3105583,0.008333333333333333
-0.07065043,0.046123587,0.054945923,-0.05937916,-0.06444346,0.040471938,-0.09477182,-0.018661939,-0.012043635,46.9915,27.491753,15.680044,-1.8997791,0.009722222222222222
0.088558935,0.06553453,-0.051682748,-0.02150084,0.05797809,0.06945807,0.045016497,-0.06803734,-0.016603252,57.233616,26.192932,10.470441,-1.8821208,0.011111111111111112
-0.088584855,0.20137936,-0.21409577,-0.0037468746,-0.22700027,-0.028545264,0.082432106,0.0024544671,0.004907526,41.93868,2.0812948,0.2991669,-1.4369801,0.0125
-0.13278157,0.13808674,-0.13854459,-0.12202479,-0.021339342,-0.033989307,-0.10351473,0.0260383,0.097389586,56.56941,16.16644,13.1987505,-0.013216093,0.013888888888888888
-0.07720207,-0.05623032,0.014063835,-0.044919416,-0.0275973,-0.028465752,-0.04737354,-0.08884058,0.013069544,60.62177,28.387997,15.880193,-0.51752687,0.015277777777777777
-0.00013431162,0.07343538,0.021910578,-0.037497014,-0.028227039,0.036537826,-0.042362586,-0.033950083,0.02668377,58.189846,27.68199,14.99109,-1.5954837,0.016666666666666666
-0.040647313,-0.019449174,0.023599796,-0.07820204,-0.01269979,-0.0176459,-0.09406677,-0.08044886,-0.021815807,59.77097,28.63014,15.224401,-0.43371078,0.018055555555555554
0.041200317,0.049475998,0.026395425,-0.047650635,-0.018425554,0.062828526,-0.028399274,-0.057182558,-0.0016239099,57.691154,27.520481,14.831787,-1.3359268,0.019444444444444445
