hour,baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv
0.0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.008333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0
0.016666666666666666,0,0,0,0,0,0,0,0,0,1,1,0,0
0.025,0,0,0,0,0,0,0,0,0,1,1,0,0
0.03333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0
0.041666666666666664,0,0,0,0,0,0,0,0,0,1,1,0,0
0.05,0,0,0,0,0,0,0,0,0,1,1,0,0
0.058333333333333334,0,0,0,0,0,0,0,0,0,1,1,0,0
0.06666666666666667,0,0,0,0,0,0,0,0,0,1,1,0,0
0.075,0,0,0,0,0,0,0,0,0,1,1,0,0
